drug1.conc,drug2.conc,effect,batch,drug1,drug2,sample,expt.date,drug1.units,drug2.units
3000,0,0.934519572953737,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
1000,0,0.606761565836299,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
300,0,0.726512455516014,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
100,0,1.2626334519573,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
30,0,1.34724199288256,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
10,0,1.14332740213523,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
3,0,1.42909252669039,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
1,0,1.20978647686833,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0.3,0,1.03932384341637,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,0,1,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,3000,1.26895017793594,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,900,0.00097864768683274,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,300,0.0109430604982206,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,90,0.149733096085409,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,30,0.854092526690391,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,9,1.34777580071174,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,3,1.07695729537367,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,0.9,1.45685053380783,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,0.3,1.45160142348754,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
10,3000,0.0258007117437722,1,Doxorubicin,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
