drug1.conc,drug2.conc,effect,batch,drug1,drug2,sample,expt.date,drug1.units,drug2.units
3000,0,0.28068303094984,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1000,0,0.181163287086446,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
300,0,0.303598956480493,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,0,0.675056326337009,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
30,0,0.927724415984822,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,0,0.855715640934424,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
3,0,1.05383612000474,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,0,0.97764733783944,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.3,0,1.23227202656231,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,0,1,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,3000,0.393839677457607,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,1000,0.216856397486067,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,300,0.163257441005573,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,100,0.610696074943674,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,30,0.990661686232657,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,10,0.827463536108147,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,3,0.984110043875252,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,1,1.00171943555081,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,0.3,0.685284003320289,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,3000,0.17126170994901,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,1000,0.510613067710186,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,300,0.115676508952923,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,100,0.602098897189612,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,30,0.863512391794142,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,10,1.07236452033677,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,3,1.29337127949721,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,1,1.04749199573106,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,0.3,0.968516542155816,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,3000,0.178020870390134,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,1000,0.36751452626586,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,300,0.0384204909284952,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,100,0.466678524842879,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,30,1.1107257203842,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,10,0.868255662279141,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,3,1.13696193525436,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,1,1.26259931222578,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,0.3,0.955709711846318,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,3000,0.284774101743152,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,1000,0.0833333333333333,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,300,0.121813115142891,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,100,0.4019921736037,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,30,0.835112059765208,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,10,0.827937863156647,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,3,0.914383967745761,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,1,0.883463773271671,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,0.3,0.765415629076248,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,3000,0.0941539191272382,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,1000,0.092197320052176,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,300,0.13011383849164,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,100,0.393513577611763,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,30,0.556118818925649,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,10,0.436766275346852,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,3,0.592671647100676,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,1,0.373858650539547,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,0.3,0.454138503498162,1,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
3000,0,0.275666811065041,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1000,0,0.171823751469769,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
300,0,0.299647255399468,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,0,0.693174082554614,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
30,0,0.808218330342224,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,0,1.25456402005075,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
3,0,1.00058790766755,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,0,0.907822266229346,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.3,0,0.989788972089857,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,0,1,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,3000,0.553592425273841,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,1000,0.101398601398601,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,300,0.0705489201064422,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,100,0.497895909400334,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,30,1.03948264125255,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,10,0.980413391917817,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,3,0.949904078222662,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,1,0.994987313571384,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,0.3,1.00250634321431,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,3000,0.429636734946469,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,1000,0.0870103347979454,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,300,0.0531592301503806,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,100,0.417661984033665,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,30,0.90905996658209,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,10,0.908533943932174,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,3,1.01277925614209,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,1,1.01132495822761,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,0.3,1.02772448790148,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,3000,0.431555170493224,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,1000,0.223157373599851,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,300,0.0484250263011325,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,100,0.452874559069249,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,30,0.786837056748561,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,10,1.03542917259731,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,3,0.845194628380469,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,1,0.857540689399096,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,0.3,0.994739773500835,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,3000,0.107710873197599,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,1000,0.112537904573303,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,300,0.0160282195680426,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,100,0.248592115848753,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,30,0.551488334674175,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,10,0.682189491924005,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,3,0.544340615137075,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,1,0.713472368339625,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,0.3,0.67559873754564,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,3000,0.0472801534748437,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,1000,0.0583575716319079,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,300,0.0254656847577202,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,100,0.23547249210966,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,30,0.317191657899623,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,10,0.408503001423355,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,3,0.395507147719537,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,1,0.412401757534501,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,0.3,0.395259607648988,2,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
3000,0,0.247114952290553,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1000,0,0.228455812559325,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
300,0,0.512439426487486,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,0,0.809461957336264,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
30,0,0.975970425138632,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,0,1.06681820452615,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
3,0,1.10393665384423,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,0,1.13053904181446,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.3,0,0.952565319478443,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,0,1,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,3000,0.488934405755108,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,1000,0.518759054803417,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,300,0.152820102912524,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,100,0.529849627816356,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,30,0.993805265524304,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,10,1.04126492481391,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,3,0.966353599440476,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,1,1.08999850127392,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,0.3,1.14277863815757,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,3000,0.3561972323525,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,1000,0.40730379177699,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,300,0.119298596193236,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,100,0.47212369485937,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,30,0.991232452415447,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,10,0.901508717590048,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,3,1.0602238097617,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,1,0.928186041864415,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,0.3,1.01875905480342,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,3000,0.340035969425988,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,1000,0.380401658590198,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,300,0.114877354248888,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,100,0.529799670280262,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,30,0.864615077184393,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,10,0.949792676225209,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,3,1.02502872558325,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,1,0.978118599190688,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,0.3,1.02228106109807,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,3000,0.444297347254833,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,1000,0.298421341859419,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,300,0.201503721836439,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,100,0.385122645751112,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,30,0.723684867862317,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,10,0.754833391617125,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,3,0.698756057351251,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,1,0.779387520607484,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,0.3,0.640230803816756,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,3000,0.158640155867513,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,1000,0.0894489683768797,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,300,0.0982664734975271,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,100,0.247189888594695,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,30,0.501373832242594,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,10,0.481765499325573,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,3,0.475295998401359,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,1,0.416920617475146,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,0.3,0.549832642254084,3,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
3000,0,0.267628664868897,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1000,0,0.209421079809513,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
300,0,0.560674737506455,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
100,0,0.83246313615239,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
30,0,1.08795685352,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
10,0,1.16415170118768,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
3,0,1.09286247059499,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,0,1.29425096104194,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.3,0,1.29950083194676,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,0,1,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,3000,0.743416145504619,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,1000,0.819065924608411,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,300,0.16291812496414,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,100,0.575190773997361,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,30,1.21249067645878,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,10,1.17998737735957,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,3,1.30145160364909,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,1,1.17815135693385,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0,0.3,1.12507889150267,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,3000,0.684491364966435,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,1000,0.382580756210913,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,300,0.207240805553962,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,100,0.733604911354639,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,30,1.10155487979804,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,10,1.03514257846119,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,3,1.14771358081359,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,1,0.98671753973263,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
0.1,0.3,1.12923862527971,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,3000,0.493889494520627,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,1000,0.278271845774284,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,300,0.147254575707155,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
1,100,0.499454931436112,4,Doxorubicin,Disulfiram,MCF7(Resistant_Paclitaxel),2021-02-23,uM,uM
