drug1.conc,drug2.conc,effect,batch,drug1,drug2,sample,expt.date,drug1.units,drug2.units
3000,0,0.238531462893538,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
1000,0,0.184554762768573,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
300,0,0.128965614544282,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
100,0,0.387098399645261,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,0,0.558632644011771,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,0,0.850979562220341,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
3,0,1.09182891925666,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,0,1.10748982142137,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0.3,0,1.09638408513726,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,0,1,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,3000,1.03188616116419,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,900,0.532843552223163,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,300,0.40615552061918,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,90,0.451455234409642,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,30,0.804017011327448,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,9,1.03369008747531,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,3,1.03222880638529,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,0.9,1.15798968033216,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,0.3,1.07986656991978,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,3000,0.58037045995082,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,900,0.512929818196477,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,300,0.393034224210908,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,90,0.374863949691619,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,30,0.656266376426009,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,9,0.902870157616802,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,3,0.925363808602411,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,0.9,0.943806183738461,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,0.3,0.773561897851413,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,3000,0.30264643044302,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,900,0.347089531180715,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,300,0.25749788366187,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,90,0.3179042205829,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,30,0.428064659168783,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,9,0.467761115814085,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,3,0.520357157254001,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,0.9,0.503285363002378,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
