drug1.conc,drug2.conc,effect,batch,drug1,drug2,sample,expt.date,drug1.units,drug2.units
3000,0,0.249982349203361,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
1000,0,0.160939963757031,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
300,0,0.17361323574404,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
100,0,0.347120566708244,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
30,0,0.472441222847191,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
10,0,0.904438586994893,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
3,0,1.03044174060389,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
1,0,1.06406062460286,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0.3,0,0.932915205572945,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0,0,1,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0,3000,0.600162387329081,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0,1000,0.386434774422819,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0,300,0.248546751076699,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0,100,0.49702289896684,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0,30,1.04778659010143,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0,10,1.07773410839943,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0,3,1.02867666093996,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0,1,1.23149608152315,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0,0.3,1.14903155962439,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0.1,3000,0.33929538019816,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0.1,1000,0.358758325292415,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0.1,300,0.178673130780636,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0.1,100,0.413922948389071,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0.1,30,0.880762985102728,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0.1,10,0.925607775764279,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0.1,3,0.865547998399661,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0.1,1,0.853769033442376,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
0.1,0.3,0.847097032312725,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
1,3000,0.235414558377068,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
1,1000,0.197159398460851,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
1,300,0.165164387752701,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
1,100,0.279706290743922,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
1,30,0.4806664940811,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
1,10,0.502753524275729,1,Doxorubicin,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-02-23,uM,uM
