drug1.conc,drug2.conc,effect,batch,drug1,drug2,sample,expt.date,drug1.units,drug2.units
1000,0,0.453533026113671,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
300,0,0.54715821812596,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
100,0,0.622657450076805,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
30,0,0.572119815668203,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
10,0,0.806835637480799,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
3,0,0.807987711213518,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
1,0,1.11328725038402,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0.3,0,0.98494623655914,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0.1,0,1.07081413210445,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,0,1,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,3000,0.0491551459293395,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,1000,0.00967741935483871,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,300,0.0209677419354839,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,100,0.213594470046083,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,30,1.04692780337942,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,10,1.09086021505376,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,3,0.981566820276498,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,1,1.19454685099846,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
0,0.3,1.25084485407066,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
1,3000,0.0149769585253456,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
1,1000,0.0234254992319508,1,Paclitaxel,Disulfiram,MCF7(Resistant_Doxorubicin),2021-01-25,uM,uM
