drug1.conc,drug2.conc,effect,batch,drug1,drug2,sample,expt.date,drug1.units,drug2.units
3000,0,0.482734925270572,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
1000,0,0.562789898642845,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,0,0.59113554372101,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,0,0.725219034530149,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,0,0.846461089159938,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,0,1.10844356639753,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
3,0,0.923939185706923,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
1,0,0.907790757601787,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0.3,0,1.01168184160797,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,0,1,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,3000,0.267479814464869,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,1000,0.0422607799347191,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,300,0.0273148943480502,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,100,0.363940903624807,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,30,0.879402164576533,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,10,0.95889881463666,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,3,0.971181927503865,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,1,0.987673939185707,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,0.3,1.07722040886446,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,3000,0.111492870640783,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,1000,0.052181755712077,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,300,0.00506785775639924,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,100,0.17355265418313,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,30,1.07601786634599,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,10,1.02937639580828,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,3,0.831644047414534,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,1,0.763270915650232,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,0.3,0.980243944339461,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,3000,0.0161054801580484,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,1000,0.0310084177976293,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,300,0.0358185878714997,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,100,0.312016835595259,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,30,0.743042432571723,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,10,0.816139838515719,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,3,0.773363683215942,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,1,0.941633739907232,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,0.3,0.956407833705549,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,3000,0.059826490293764,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,1000,0.0112523621370898,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,300,0.0138292389623776,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,100,0.228268338773407,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,30,0.722985741281567,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,10,0.690474145335853,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,3,0.555617591479127,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,1,0.795009448548359,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,0.3,0.740895035217317,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,3000,0.119781824428792,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,1000,0.01331386359732,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,300,0.026584779247552,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,100,0.223028689228655,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,30,0.542862051193953,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,10,0.427847448891943,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,3,0.508374849682185,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,1,0.662429135887305,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,0.3,0.536763442707439,1,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
3000,0,0.53886337026029,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
1000,0,0.606007385391336,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,0,0.536116364946411,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,0,0.760560208952535,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,0,0.629919841484283,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,0,0.807934792398451,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
3,0,0.873232459695578,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
1,0,1.05183283797172,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0.3,0,0.909123660271999,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,0,1,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,3000,0.0895703863820589,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,1000,0.016932360623255,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,300,0.0331441952625417,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,100,0.194947311537422,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,30,0.815095019364136,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,10,0.869945059893722,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,3,0.5977213365757,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,1,1.13802575880393,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,0.3,0.905025668738179,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,3000,0.124966225344501,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,1000,0.0167972620012609,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,300,0.00734035846167702,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,100,0.147572728091507,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,30,0.847203458524723,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,10,1.02751508601279,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,3,0.58295055390435,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,1,0.780104476267675,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,0.3,0.746149689273169,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,3000,0.0818697649283977,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,1000,0.0357561019544267,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,300,0.00788075294965325,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,100,0.176078537332253,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,30,0.758083400882644,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,10,0.951769791948122,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,3,0.611546428893092,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,1,0.676393767450239,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,0.3,0.80023417094479,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,3000,0.0599837881653607,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,1000,0.0357110690804287,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,300,0.0075204899576691,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,100,0.16954877060254,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,30,0.667882554264613,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,10,0.522021075385031,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,3,0.613212645231019,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,1,0.720525983968297,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,0.3,0.599387552913627,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,3000,0.0231919301089796,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,1000,0.0036476627938395,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,300,0.012068810231469,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,100,0.174682518238314,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,30,0.489642438980456,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,10,0.589120057642079,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,3,0.460821399621724,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,1,0.473070341349185,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,0.3,0.520940286409079,2,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
3000,0,0.583911111111111,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
1000,0,0.810933333333333,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
300,0,0.662666666666667,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
100,0,0.795244444444444,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,0,0.9472,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,0,0.914222222222222,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
3,0,1.13862222222222,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
1,0,1.31373333333333,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0.3,0,1.29466666666667,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,0,1,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,3000,0.578444444444444,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,1000,0.251955555555556,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,300,0.0593777777777778,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,100,0.417911111111111,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,30,1.018,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,10,1.41768888888889,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,3,1.10826666666667,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,1,1.10191111111111,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
0,0.3,1.13115555555556,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,3000,0.207022222222222,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,1000,0.167022222222222,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,300,0.0776888888888889,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,100,0.224088888888889,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,30,0.985511111111111,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,10,1.15306666666667,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,3,1.04168888888889,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,1,1.00497777777778,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
10,0.3,0.943955555555556,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,3000,0.138,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
30,1000,0.163466666666667,3,Paclitaxel,Disulfiram,MCF7(Resistant_Paclitaxel),2021-01-25,uM,uM
