drug1.conc,drug2.conc,effect,batch,drug1,drug2,sample,expt.date,drug1.units,drug2.units
1000,0,0.211569926429364,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
300,0,0.22400713966979,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
100,0,0.225139875742285,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,0,0.214739299076648,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,0,0.327898488541059,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
3,0,0.384386549045184,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,0,0.902664790214991,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0.3,0,1.08421148983398,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0.1,0,1.04279225162759,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,0,1,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,3000,0.5919175276605,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,1000,0.419570017963592,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,300,0.370850925067793,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,100,0.4169612924633,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,30,0.900502294076591,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,10,1.08637398597238,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,3,1.03890204693418,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,1,1.11596242519937,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,0.3,1.11327360724951,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,3000,0.398791748189339,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,1000,0.3658508678589,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,300,0.135676609572192,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,100,0.316502477145047,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,30,0.397659012116843,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,10,0.395473632421424,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,3,0.686655453723727,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,1,0.81141660659733,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,0.3,0.86472385267566,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
3,3000,0.251947962791336,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
3,1000,0.145642398654447,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Doxorubicin),2021-01-25,uM,uM
