drug1.conc,drug2.conc,effect,batch,drug1,drug2,sample,expt.date,drug1.units,drug2.units
3000,0,0.248153407737102,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
1000,0,0.261429810432412,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
300,0,0.275525861822479,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
100,0,0.290031737559925,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
30,0,0.245751646445489,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
10,0,0.358377095584381,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
3,0,0.432698264441543,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
1,0,0.774024761015221,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
0.3,0,1.00828226413656,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
0,0,1,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
0,3000,0.473490083203873,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
0,1000,0.370643233609409,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
0,300,0.205779476377915,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
0,100,0.240385806734462,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
0,30,0.969425197525805,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
0,10,1.03453961476511,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
0,3,1.07260562507744,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
0,1,1.06855503559753,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
0,0.3,1.00753886183201,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
10,3000,0.137014763207304,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
10,1000,0.116209029478761,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
10,300,0.103990545447614,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
10,100,0.142075617357491,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
10,30,0.224555149967119,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
10,10,0.322846277746538,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
10,3,0.30311752427971,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
10,1,0.339868284360912,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
10,0.3,0.298923972818162,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
30,3000,0.167475196096185,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
30,1000,0.103504474710025,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
30,300,0.0720051847545343,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
30,100,0.158125482496688,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
30,30,0.215863061483183,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
30,10,0.249344757584133,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
30,3,0.251127016955291,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
30,1,0.258808840768945,1,Paclitaxel,Disulfiram,MCF7(Sensitive_Paclitaxel),2021-01-25,uM,uM
