drug1.conc,drug2.conc,effect,batch,drug1,drug2,sample,expt.date,drug1.units,drug2.units
3000,0,0.388095867477311,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
1000,0,0.242444268217464,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
300,0,0.173076923076923,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
100,0,0.426381178958499,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
30,0,0.556679002555291,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
10,0,0.996717772490968,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
3,0,0.948475636619966,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
1,0,1.02509031632743,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
0.3,0,0.987620054630364,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
0,0,1,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
0,3000,0.0262578200722531,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
0,1000,0.010375363468147,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
0,300,0.0160586835844568,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
0,100,0.0653802097101066,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
0,30,0.344105207507269,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
0,10,1.06676799718037,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
0,3,1.19314477046436,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
0,1,1.2008547008547,1,Doxorubicin,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-24,uM,uM
