drug1.conc,drug2.conc,effect,batch,drug1,drug2,sample,expt.date,drug1.units,drug2.units
3000,0,0.28503549388221,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
1000,0,0.127892127135876,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
300,0,0.138501052331181,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
100,0,0.325537759069668,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,0,0.721513930011058,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,0,0.907373452716441,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
3,0,1.04998394749046,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,0,0.995790675275568,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0.3,0,1.10026040737702,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,0,1,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,3000,0.594898869189883,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,900,0.501366246923269,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,300,0.368986551564228,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,90,0.501608818178575,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,30,0.836371419398566,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,9,0.9788748974423,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,3,1.13664609567296,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,0.9,1.11234616345022,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,0.3,1.06423857596404,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,3000,0.519266578675133,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,900,0.426575821353405,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,300,0.289836977847537,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,90,0.43470909285485,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,30,0.604459030428424,1,Doxorubicin,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
