drug1.conc,drug2.conc,effect,batch,drug1,drug2,sample,expt.date,drug1.units,drug2.units
3000,0,0.18777758278548,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
1000,0,0.134805675175831,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
300,0,0.0761369925887927,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
100,0,0.14800815367793,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
30,0,0.394548915317845,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
10,0,0.632497266357979,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
3,0,0.883067618829056,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
1,0,0.992703538210241,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
0.3,0,1.08682857027147,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
0,0,1,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
0,3000,0.515018156782807,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
0,1000,0.3998879544258,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
0,300,0.161392874981438,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
0,100,0.237766108238725,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
0,30,0.694621812438409,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
0,10,1.02020870175628,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
0,3,1.0063447493824,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
0,1,0.894508416917532,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
0,0.3,1.01524089798453,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
10,3000,0.39899698961891,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
10,1000,0.249031413259176,1,Doxorubicin,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-24,uM,uM
