drug1.conc,drug2.conc,effect,batch,drug1,drug2,sample,expt.date,drug1.units,drug2.units
1000,0,0.581890748220812,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
300,0,0.66200230813618,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
100,0,0.59131563762262,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
30,0,0.616368532410079,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
10,0,0.551836891709944,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
3,0,0.811886901327178,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
1,0,1.06948451625313,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
0.3,0,1.15805924216195,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
0.1,0,1.07650509713406,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
0,0,1,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
0,3000,0.028130409694172,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
0,1000,0.05577995768417,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
0,300,0.048086170417388,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
0,100,0.126610886708982,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
0,30,0.920753991152145,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
0,10,1.12290825158684,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
0,3,1.07208116945566,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
0,1,1.1446432006155,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
0,0.3,0.972927486055011,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
1,3000,0.0436622427389883,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
1,1000,0.0198595883823812,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
1,300,0.0356318522792845,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
1,100,0.106799384497019,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
1,30,0.732496633968071,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
1,10,0.780582804385459,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
1,3,1.011059819196,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
1,1,0.985814579726871,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
1,0.3,1.10665512598577,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
3,3000,0.0439026735910752,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
3,1000,0.0272167724562416,1,Paclitaxel,Disulfiram,T47D(Resistant_Doxorubicin),2021-01-25,uM,uM
