drug1.conc,drug2.conc,effect,batch,drug1,drug2,sample,expt.date,drug1.units,drug2.units
3000,0,0.529137384165682,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
1000,0,0.636482368306487,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
300,0,0.609863797499845,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
100,0,0.60121898127993,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
30,0,0.50550407363642,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
10,0,0.519808445798868,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
3,0,0.729771751974625,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
1,0,0.976180110703402,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0.3,0,0.938802164313701,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,0,1,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,3000,0.00236333105292618,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,1000,0.000373157534672554,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,300,0.0588966975558181,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,100,0.28484358480005,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,30,1.05759064618446,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,10,1.00230113813048,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,3,1.07332545556316,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,1,0.971577834442441,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,0.3,1.10740717706325,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
10,3000,0.000621929224454257,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
10,1000,0.00447789041607065,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
10,300,0.0797935194974812,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
10,100,0.255861682940481,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
10,30,0.568878661608309,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
10,10,0.552584115927607,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
10,3,0.528577647863673,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
10,1,0.541078425275204,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
10,0.3,0.646868586354873,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
30,3000,0,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
30,1000,0.00304745319982586,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
30,300,0.0531127557683936,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
30,100,0.27682069780459,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
30,30,0.461160519932832,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
30,10,0.495864170657379,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
30,3,0.453697369239381,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
30,1,0.547484296287083,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
30,0.3,0.487779090739474,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
100,3000,0,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
100,1000,0.00354499657938927,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
100,300,0.0252503265128428,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
100,100,0.255550718328254,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
100,30,0.478139187760433,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
100,10,0.54642701660551,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
100,3,0.477828223148206,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
100,1,0.413769513029417,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
100,0.3,0.510355121587163,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
300,3000,0.00136824429379937,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
300,1000,-0.000497543379563406,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
300,300,0.0643696747310156,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
300,100,0.34915106660862,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
300,30,0.503824864730394,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
300,10,0.489582685490391,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
300,3,0.47695752223397,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
300,1,0.480191554201132,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
300,0.3,0.506623546240438,1,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
3000,0,0.434908018716749,2,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
1000,0,0.537786039356452,2,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
300,0,0.544003589513493,2,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
100,0,0.512723543362605,2,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
30,0,0.504775334914429,2,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
10,0,0.451189026344465,2,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
3,0,0.809371194154221,2,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
1,0,1.02647266200885,2,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0.3,0,1.08704570219858,2,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,0,1,2,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,3000,0.0132042817768092,2,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,1000,0.00339721812704314,2,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,300,0.0556374591372348,2,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,100,0.319594897762964,2,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,30,1.00782001153772,2,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
0,10,0.92853022242164,2,Paclitaxel,Disulfiram,T47D(Resistant_Paclitaxel),2021-02-16,uM,uM
