drug1.conc,drug2.conc,effect,batch,drug1,drug2,sample,expt.date,drug1.units,drug2.units
1000,0,0.251398230602728,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
300,0,0.257347066257972,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
100,0,0.23914464604791,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,0,0.188387059284978,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,0,0.213453520635705,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
3,0,0.282733123175037,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,0,0.697996716881909,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0.3,0,1.05129508839723,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0.1,0,0.99001990208754,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,0,1,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,3000,0.649832212327673,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,1000,0.588157531560062,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,300,0.345599023780816,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,100,0.428098261109578,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,30,0.973538939814344,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,10,0.991211121925709,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,3,0.950782282783968,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,1,0.993520926246059,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,0.3,1.06519023199733,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,3000,0.388141551781745,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,1000,0.370149774104043,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,300,0.211230878742537,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,100,0.31857140781847,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,30,0.349441434112469,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,10,0.348940250156166,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,3,0.580443656754362,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,1,0.653333236486192,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,0.3,0.548978020541279,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
3,3000,0.322137803797376,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
3,1000,0.172218429042521,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
3,300,0.194611909292967,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
3,100,0.239013902407136,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
3,30,0.27860017141944,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
3,10,0.355085201272571,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
3,3,0.330498133271351,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
3,1,0.318731205601639,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
3,0.3,0.303971701265308,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,3000,0.249662245594666,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,1000,0.211695745020846,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,300,0.172777721283612,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,100,0.1877551316879,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,30,0.228539884073972,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,10,0.215625317779682,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,3,0.20756279326525,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,1,0.204439472957857,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,0.3,0.227246974737423,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,3000,0.191539433734765,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,1000,0.149665151008905,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,300,0.129901070645147,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,100,0.135515783662856,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,30,0.194038089980679,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,10,0.185808504147479,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,3,0.185525226259134,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,1,0.175966413411392,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,0.3,0.187740604616703,1,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
1000,0,0.284756033344405,2,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
300,0,0.295814126815674,2,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
100,0,0.26194314600734,2,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
30,0,0.231952624373172,2,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
10,0,0.249175706219266,2,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
3,0,0.349532967700646,2,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
1,0,0.554249467348245,2,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0.3,0,1.0736801173049,2,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0.1,0,1.1228136974538,2,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
0,0,1,2,Paclitaxel,Disulfiram,T47D(Sensitive_Doxorubicin),2021-01-25,uM,uM
