drug1.conc,drug2.conc,effect,batch,drug1,drug2,sample,expt.date,drug1.units,drug2.units
3000,0,0.244386800753423,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
1000,0,0.254847392673023,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
300,0,0.255082022772155,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
100,0,0.223582931963789,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
30,0,0.184627818005253,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
10,0,0.233157143508893,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
3,0,0.343126967471144,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
1,0,0.681235457821981,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
0.3,0,0.930275755541507,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
0,0,1,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
0,3000,0.487450548447857,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
0,1000,0.390013882280865,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
0,300,0.284919150378341,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
0,100,0.437063734659428,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
0,30,1.02098635886674,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
0,10,1.01723227728064,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
0,3,1.01570066413353,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
0,1,1.08071927160389,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
0,0.3,1.01072129202975,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
10,3000,0.213291795115783,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
10,1000,0.217045876701883,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
10,300,0.184986280656704,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
10,100,0.190669543057882,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
10,30,0.227904036289455,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
10,10,0.224938572536547,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
10,3,0.218205992192032,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
10,1,0.22088468582378,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
10,0.3,0.211701524443894,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
30,3000,0.194378002124706,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
30,1000,0.161405955694016,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
30,300,0.164814609634173,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
30,100,0.176891542236677,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
30,30,0.187782289338017,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
30,10,0.175679286724499,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
30,3,0.176174616933776,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
30,1,0.185540268390763,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
30,0.3,0.189515945070487,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
100,3000,0.199344339222983,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
100,1000,0.152985342136307,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
100,300,0.15284847457848,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
100,100,0.217430409364348,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
100,30,0.208129932934897,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
100,10,0.191288705819478,1,Paclitaxel,Disulfiram,T47D(Sensitive_Paclitaxel),2021-02-16,uM,uM
